60 MADESCROWS FOUND
RELIABILITY INDEX = 68 %

BLOCK 506469 : RSn6DdFoFYdY2erUXTxirHE1gevFhVKqPN
BLOCK 506476 : RKBAA6SxrG3TtSjGZEg6sXpH5wnv6JNQRt
BLOCK 506515 : REXiPoEmkmGGZrevV9DNfpH8XFeUrPPy76
BLOCK 506522 : RVPPD3NJ4QkTZdqd8tUa1ymMgL1AQBrSrP
BLOCK 507261 : RWLZXYL2GBdbe6oDg2UPXHU8dd7rUc8M6s
BLOCK 507522 : RDk33DxW4TALenpwLG5q6Zxo7xfaPjCqhU
BLOCK 507749 : RRqn9eudZvBLzv7EQnbohu9fbpu3t5WcYN
BLOCK 507910 : RC1CCgaBC9TMdA5CBUA54wcafP5iWZCyWD
BLOCK 507960 : RCUkkGgrtR7DTa9WJ36KkhWFZTgFbaJT7i
BLOCK 508435 : RMLjm7dgXS7oEwz8vqxxptsP6jeZ2oLUJR
BLOCK 508567 : RMr7Zt5ZAUjGHSiSj5RdjpdFQ5Qd5PZS9U
BLOCK 508567 : R9exVfWuykVmXsGsr9hZso3jMhf7dcYgRU
BLOCK 508577 : RFuL946cDnwqQnKnsiwBDjXSS6D2zszA1K
BLOCK 508578 : RHf5kLesxqrNhiVdt8RZMdXaywMSbCZd8r
BLOCK 508756 : RATwcvRbHtB5uuczxyRSz5wVgy1HdENm7q
BLOCK 508756 : RJBNUCnPcPTYVZjyzumES7L9JQz7BMvwPd
BLOCK 508756 : RSv5adHUvL1Q3i9MZ66aXqmVJ4DTykXDfL
BLOCK 509062 : RE2NHh42YdLEPatyUayVWHn9DXShrLnfu2
BLOCK 509103 : RD2eqnp2Swgf8xoN3HQaSczbjDV3dy8QF7
BLOCK 509171 : RLzmBT4iuuMM34XJPGAg3oE9S1fyUHZGD1
BLOCK 509176 : RBGS5eSjwkBUqVzcEJqEKznQ8wpQ5kN3M9
BLOCK 509808 : RYQHo3Gw9T7huhVKUUaXqtEMEDfDjw2kVY
BLOCK 510308 : RSXdY6bYS9T81SYqt8VRR7gwWRXGE3XCqi
BLOCK 510966 : RWsGdVtDNxFujKvEcwagNiewpQAUx5r93T
BLOCK 511055 : RM8K47rBcAibEXuL5BDYpoxFNnps4VstKd
BLOCK 512354 : RSdVAPoh8Z9EDyJArsz8QC5u6ZuV33iNrA
BLOCK 512669 : RMt8muQiN2qyMTRUUZVMWxDejtDiqVR4ao
BLOCK 513039 : RRfGWA2vkebetMEMWbqzwzvpwrcyiyusSm
BLOCK 513158 : RCFWxhZwAPkE1fVG76DDvWPDKC8z5s9SdW
BLOCK 513213 : RXRw96iL9ZWPwt1LwRt9s8qDfBbgWSU4Qj
BLOCK 513215 : RLTCXvcsxwzh5NjPjVLmCTAfLaQyMUDyfQ
BLOCK 513269 : RPiYrfSxEQ88sAVdvDQMbcqZchrEPfZpaw
BLOCK 513303 : REZqLuSLsAXHiS1vU766U61YbbYw7MiRpN
BLOCK 513683 : RN8NXSYMTMr7iYRgKCrdUVNhaFDqyrWL44
BLOCK 513739 : RXJiT6hvqipCipdwZxykrJDbGBUvjTgzo8
BLOCK 513994 : RU7AQPmd6HZYe3xZ4F7U2A2AoxAM3Rthi9
BLOCK 514473 : RWUCttgZtcDDC8nrkW7aAqDVs8uvNdCMJN
BLOCK 515026 : REKnuaNANdGmt8vm7UCi8iD6RStp8BrPsz
BLOCK 515115 : RFNjpagYDZtES9AF7jW566aqN91FQho5Ez
BLOCK 515133 : RRgEPnYRmKE6S9eqY7pddQZzdm1GydTLq3
BLOCK 515196 : RTMTUbZDNpgJ3k9CrygZWaWdS93J1MPnxK
BLOCK 515265 : RNLeDnHtF59KenPrXPdEr4KQ1MnZzJ56ub
BLOCK 515536 : RBcjuwZn5R94pbFiipgbwrDV6fYT1mZopW
BLOCK 515797 : RQqen6D31ZXVpNMAYUaPHqPmJSgt6cwgtp
BLOCK 515973 : RHeF51uiVSj5DkCHkokWwcxGiPeJiE4ge7
BLOCK 516117 : RPkLkNqyWXsfJcDvcqpKDwF8coxnD16h5u
BLOCK 516613 : RNwxyhRxEg2SBTG1apRcQBuDcRVpdpgrkT
BLOCK 516661 : RP7MmarwgoQeM9EeBTBSNHaBbGYMNvFWbA
BLOCK 516978 : RPRUgvV9PYqdKZHbKySFESWkza3GzixodL
BLOCK 517072 : RTHnjfMjL8ECCAYjBNsS7QGPHeZsSdzy9a
BLOCK 517357 : RX9qoZqoJBXSvmkU8KPnpJbD7f58QZkgjd
BLOCK 517722 : RG4Ljkp9rEyspMZMRNV3yqnj5W4SQFDL8g
BLOCK 517807 : RTZ1knh3qssUWjq5hkkiUf4UAumrj7BZMD
BLOCK 517848 : RFmbJiRwah3bpD8HZzrj5C5hqvjVneQaMj
BLOCK 518023 : R9HKoFEpHVQLqNSC3pvvrZTC8ZhAg6tBCs
BLOCK 518422 : RXsmr88xUHkaH6fm1AAo2VnJxdmHq6PebK
BLOCK 518831 : RGBNsiGYaen5QqSUcqsjsqwAj2toHBkRzH
BLOCK 519756 : RWrvoHmrJ48Sqq8te866TdCzBvKkwNyhEi
BLOCK 519925 : RAMUk4if8YQ6EFkSYJh56XqUF7Hcsn5kqS
BLOCK 520032 : RGYXjMovYRmn9NVA2zf7zwWGmX8d6TxQ1e

