34 MADESCROWS FOUND
RELIABILITY INDEX = 61.765 %

BLOCK 563184 : RYAKuaBXSqySUwo2b114icGqZV13tTHBMM
BLOCK 566935 : RMKQY8uq5FMCC2973JYtGSj1jJtSzoftUm
BLOCK 567647 : RWjuLnpmaEQn9rF7FKaf9LJusLzEKr6bxJ
BLOCK 567647 : RBUmUJmPNLx4WsYGcSVHdWQBvULJamvTRL
BLOCK 567647 : RQrxSbsDeg3999sJNvAih7gxqWRqp71oom
BLOCK 567647 : RBxwfWxCg5859oVZHMx1q9ZPCkrw37JZFv
BLOCK 567647 : RNfV6Fo6Vua8z73Yjt76cNUFymY6Pi8tJr
BLOCK 567647 : RSSQ9WgiJPQHQHisREAW2ewpU98t8e18Un
BLOCK 568885 : RFxLP83fU7mKqbbxyhjbbnMLKH71NCdXVW
BLOCK 569276 : RJHba8rpRWkfSxenL6Jd2khVUuesAknrxF
BLOCK 569421 : RNM744pQTnqStzdbKFhAGkMh1ZYPwcFJ9b
BLOCK 569531 : RPMpxHvuwqeiCFskN3St3H8vqCyZ1UsTkP
BLOCK 570270 : RGU91vSbLmg7h5Q1wCwUUfYHZmjojipCUR
BLOCK 570271 : RHmNdfTih4RMokj4g8RhLVfLSh3AjRf14A
BLOCK 570730 : RP3wCWTV98wCHb2CiRfMiHbTtPpGPyn35E
BLOCK 570832 : RGJFrKe6T7dQCu3Pq7hh5NPvPpEYMQTrTX
BLOCK 570832 : RVwHBvuddbN6DxBSZY5w2jaXsxo1Fdo91P
BLOCK 570910 : RAQoYpCKMR83Lzjtafa7P8E6p4pNcYm848
BLOCK 570910 : RWhp8YaxaBT9Rb5bquuzRaGW61L9YCxN4A
BLOCK 571357 : RBPGdkapivqz3KjK6S4tDTYK7Y3g2sJhbx
BLOCK 571357 : RK9ywrUXRZYeXfBSSSZ6MuyRC9ZQTabdHT
BLOCK 572113 : RFgX4xcXcKAKNYkbG9XT22a5vH569HAvxL
BLOCK 572759 : RJc15nNQ7YgoYUSKt3mMM9uUQpjs9X8TkG
BLOCK 572759 : RQNSxcXHdpzku4pnK5DTfuVaWZBAaUBuUq
BLOCK 572759 : RCyzdp54E7X2QJk8j7YW3xDeoLJ8FdV2Em
BLOCK 573443 : RKx5cpvT7YCCmkC4RxyEzgHqZSjzbCVaDj
BLOCK 574018 : RSc7ooYntdsLsN2BhYGEdiuGLLgzFuWTm5
BLOCK 577939 : RMLSFRjoFStJwEkDHcpjA5xuggpJ6qmve3
BLOCK 577967 : REGPCHzaCLLnPHc62pvEXjpb1LJXxEXsf8
BLOCK 577967 : RQRHrmUyfSVcXv3EAc583iV63XhGL4ZHAx
BLOCK 578316 : RVE1Uaepwd389PBBdGcnZ1dYTyHpBiayTv
BLOCK 579438 : RTHhKBS2LHYPrFyCGbbegdmMoW8DjdKnWf
BLOCK 579913 : RGkWET1qPeoVbR2e5FLF98oYcqCyWLjxzq
BLOCK 580935 : RXfS4YY2dhh74doKNHsB7ELmqgzgDnHLJC

