32 MADESCROWS FOUND
RELIABILITY INDEX = 75.000 %

BLOCK 520693 : RKubbCq3BS246C4cuSw4tBsZ1bYFka5MoB
BLOCK 521108 : RQURpykastDZwPRdNKF2JV6ud7pM7Mw49r
BLOCK 521200 : RGDqFnoGciM4LszYieRKAcNFn1BTSUFAiH
BLOCK 521453 : RW9CbDndD3xomCjCAbg8DSAumD38aGeL5s
BLOCK 521772 : RSwaw5F1zgHkLxKZHSG6qXcFY5XQST6R1y
BLOCK 521772 : RB8Ui4a4zRSLgaBQA3QtRhL83Nbf2PHTGB
BLOCK 521772 : RCqThEGritBCQGbS9ZiLqm4m5gLwEm8WYu
BLOCK 522293 : RSwc1f2AeYmSP14BC1B73bhBKHs3dFNn3E
BLOCK 522327 : RP5nMC1cMoBtKpjavmTbKdCRdtrXZKSijp
BLOCK 522338 : RKmbEABqAkTx1RnqLR9VMAwBUfJWsYisxc
BLOCK 522486 : RMWXWpB8WAqqsrx4fmd3rp1xBdo3x23As6
BLOCK 522507 : RLF3e3ukpG6gWtK5yEkWJhRuXwLkBZNmMy
BLOCK 523892 : RAp6BeYAXEb2ELdiFNVrW783LB9vfWDGft
BLOCK 523892 : RUEnvhrpZKbaxWMKUbHTdHg769756QBa8y
BLOCK 524043 : RNJayV1ahhHMAWVBrLE8hg1KJ3EdqrLWgg
BLOCK 524797 : RWoXQGZdj7nBYL3PBorhKKACut65G3zGzK
BLOCK 526484 : REvjFXLHgruXom1Kqn4NyHYj3HkXWxWT9r
BLOCK 526735 : RSVTFExFRGVDBx48znRuPYP1vkBGGLejVn
BLOCK 527429 : RLSEkboV9PayCuPfmD95mrGahG6cyMTL2s
BLOCK 527608 : RYaf4nPm77j2ndGdufaUpKDTvjRLQBo55F
BLOCK 529267 : RKK87jm6GYDKHWMXBmx9AzTnHfauHcwVbL
BLOCK 529267 : RWiHCzDLg8tbMFhQKhrBc8rJ3WtAWJVQ2J
BLOCK 529896 : RBW8Sa3rG3eo7XbxK2CRcneKYzRpyT8wD7
BLOCK 530531 : RXEhfHoG8p6S1JwwVv3a1QmJnLCZgdBQTU
BLOCK 530531 : RJmWzn6ZxVAakwSZ4WDcsWYjH42BohtsqG
BLOCK 530663 : RKXXEHZZ6AY3Ujx1qWiFGo3TTF52VStLcp
BLOCK 533335 : RFuC5oebEWe6khcrZLnWfQqoxx5wfhjgv3
BLOCK 536747 : RHtATPff8oK4YqRtRQhGeGsK2JsHtBfGD4
BLOCK 538007 : RCQLAFEeWqCM1xAdwcBSd6bWvfjAtC677v
BLOCK 538008 : RHEPdXue6CF2bj5RcZv96RU2rpmVdWFii4
BLOCK 538008 : RPJCYzUaawrqYGpTYCpjNJsrFbtK9UNd5v
BLOCK 538008 : RJUADeq1JzZHxSzp61ZrcYGLxrwA4mVxrS

