31 MADESCROWS FOUND
RELIABILITY INDEX = 64.516 %

BLOCK 662986 : RMGeziGDCrgzQNccvTk9ETNxPPwBfQMWMV
BLOCK 663022 : RQcJxNR6V8UP3iBucLq6ZGKtrpqwz31B4v
BLOCK 663133 : RCVKpRUDVWwr74FEnyKYJcnWCvmfvffuaC
BLOCK 663133 : RKwuHkF4g22NXFYSaiPhKdMhAoYQDVLp3M
BLOCK 663133 : RFAKZMFVi1sb1gs1htbVZdKB8TfsZ9DUGd
BLOCK 663133 : RRzTWzuh3ngHb1hNShFDiw3WUYoUJRcCRR
BLOCK 663133 : RM8rRcKjoR9fb3gqjrfkngvGJdNpWAoCi8
BLOCK 663621 : R9dShRTgjh8bmkcnb4t4CG4Yfk5VqpmUZP
BLOCK 666488 : RR9i97yAQLKs6QnWuNpSMjiYLNxjuCT2Lz
BLOCK 666488 : RQVNx7CbyLB1K9xJq2W6U7vyXPijfHhj6Y
BLOCK 667234 : RQrecx1XQohdqmtmQ5VgyupzYnjdHN4Tr8
BLOCK 669986 : RF8BgdGMhNh3ovTnVU9LfEGu3ppxMekdfk
BLOCK 670285 : RQur2R4yqp9Jak244QF4xaKpCFkiBZ22km
BLOCK 671609 : RLPM2bf3cgRCvGg2caELUBGLghFxoGpMqS
BLOCK 673293 : RA6U5j14t1zA7Br4sqJxSZ3g96xnr7DVSK
BLOCK 673293 : RY6MVzM2gixLJ34tKqgudVod6VavXgsaGb
BLOCK 673348 : RMYHGFYAJd2yYmV3YkbeGRUQ3bh2HFBxMG
BLOCK 674406 : RNciGc4rCFsS9MChD2brezDWxm3oM5KXGN
BLOCK 674406 : RATsG8f7nTtpVGfNSc558CPb1hV4bm63sb
BLOCK 674406 : RRwztr9ovP3yrK4y5eBkNoCrWUty9E8PdM
BLOCK 674406 : RUg8WMEQJNstDHdNyBoaL7zUHqQpMzVHZD
BLOCK 675390 : RXV63ba76XsSV1G87bfDnvzjLVMbbp7Kwf
BLOCK 675715 : RQ18EJPJxDBgejxfoDBJcW9V3HwaotSho3
BLOCK 675754 : RG15f9bC8s1x2dZZhL7txyXcjS2gURWx4D
BLOCK 676130 : RVi8fQZ7VLfGoodzqM81UpGLyxBGFhQkFz
BLOCK 676130 : RQfPTaWwPhAi1AT8cUu7jwjScoeM7zKNrM
BLOCK 678334 : RNUFq3ryhN4LSfyC2cGEBNfg8Letpfy9iG
BLOCK 678764 : RJyddh9CyfMvvtnkgeJnGCSJPRxEYLVjd4
BLOCK 678996 : RNhJsVu4VsdUDMXZG54Q44gqUiLuoJ42b7
BLOCK 679450 : RWnqDEBbBUyoACG2YwbUatkiU4Ektgr9h8
BLOCK 681768 : RMcgoYR7ophNRwvyR3kW8pniu37xSbWRdq

