64 MADESCROWS FOUND
RELIABILITY INDEX = 59.375 %

BLOCK 623013 : RFm41ztK9FapQn6Mchyi9tm5E2tPTuJYkx
BLOCK 623037 : RVkKTvX4ey8RfwLVnB3WLsv8VfiDBHW1cM
BLOCK 623037 : RMiqGBKacaQXtDRuZDPtz9SKFtwD59Dyaq
BLOCK 623037 : RAqs7GG2wkKzRZfR5DuBwaN1exEvQcuhYa
BLOCK 623037 : RSv9CKZupEtBEmoHcsjm16C3v5268rQcdX
BLOCK 623037 : RTdutfoPUURLmmHpSScTd5MWoJRoa8qpLj
BLOCK 623062 : RQ2Yi1Hqeug52bR7nBy2zMEcPnSskKgwuR
BLOCK 626547 : RFRfCkv1SqqMzbwbh23jmE5FY8KXNxGNan
BLOCK 627839 : RJWKz1HTNeMfrgTsA8UuFae9TMMUNnqzps
BLOCK 628475 : RSLVWsyZNYaMV8Q1do83u2aT6GKYvvXVaX
BLOCK 630173 : RNDrDR2LPgPpEbNjaCv58M4sQHq127aeAE
BLOCK 630173 : RToYrZQUaRvVv5SFymEqTReGPUd3aKS7DC
BLOCK 630173 : REnhSxA8JnzBUPCLC9P4AvE7a1djV2hvhp
BLOCK 630173 : RE6nHUcbq25uMXXHP2Hc8MuV9iSaFhSYma
BLOCK 630173 : RUpWvtAWRkLUHfk55PMyVSNkjBUzCAzYdi
BLOCK 631096 : R9bMhRsaN5nWHGZLzk1m1N5z1JZ7AafRFZ
BLOCK 631153 : RQmud75VFN7MWyWaZvhfo13xkyAmv1KaxA
BLOCK 631685 : RJ2Jd2XquwoqYkpHVw3WgzhDtGQeshv4Tx
BLOCK 631685 : RC1PfUYyef5o2p42YcUaFCARNkANvz2hR1
BLOCK 631685 : RUckNyBhVHxcRXx1DVe6ASbFdJnsNanUfS
BLOCK 631685 : RTNKgDWtodkxt6PNDcwRYpfrMgLLFXzaaM
BLOCK 631686 : RNmrrTVLbFeTpPjKiKACFnTvMmQbUZ8BjK
BLOCK 631686 : RPpjKKzgVmPs44Z9BuZKQN3J1eK55DDyBG
BLOCK 631686 : RJxsXY4Q7dWrvxH4pwCzeUjP2s14UnC3c8
BLOCK 631686 : RSVmXm1nwCD21xsQycdQCbuz9wJXfTQC3G
BLOCK 631686 : RRkb1oMgU79iuhiA2ShFb7U8oqmz3yUACB
BLOCK 631686 : RCHpmFcARAMAQckBgmjEqSspw5HcxxmVMU
BLOCK 631686 : REqBxwReSk6kQvyizwP8gXgh7hx5pz78hD
BLOCK 631686 : RUMYKNTuUCKkp2mmEY6GDQzEKMonVUFYiX
BLOCK 631686 : RErADuQ8mUsJY43vQ5W79ryaYd3tjFp8nc
BLOCK 631686 : RUCUqJjExg751ehjiiMtKaz7G5WnnevDrT
BLOCK 631686 : RUYNr2Kzhh31Eurvt5BqQhFAfq4Dhhtwwt
BLOCK 631691 : RDAYmEqGW1Ps7xSXP6J5PDacoD6kRhufBj
BLOCK 632108 : RGyghpq7nDQTDYpCWSe8GcZt17eSgxbsBF
BLOCK 632987 : RAF81PjkJm7Mr2xhKF5YLJUmTtup1LWJGM
BLOCK 633248 : RFpUSG38pe1w53Jk3eapiJ1m44W3B5jHih
BLOCK 633436 : RT15fau5UBar5atUU6J31WHnYFaczPNQ4k
BLOCK 633456 : RYBnKksTzgChD46PMq6jBGAqRTdLfYbxKZ
BLOCK 633612 : RM6EBoiZAUgU7BTHp7zfPQzEv3cUZ4v8kF
BLOCK 633859 : RBFuZUZWrtUJiS3AHr1qKcHjSrSfwQteMj
BLOCK 634043 : RNT7ButUPsBFrsKQK8ziop4SpYBJ22KkbB
BLOCK 635484 : RCvxtYRe8qvC1dNry3N4v5NbFGj4kiNgwf
