43 MADESCROWS FOUND
RELIABILITY INDEX = 39 %

BLOCK 642768 : RL5QT4V9wD2Rpzze1z1uRaNW5gU3RingvY
BLOCK 643713 : RB3x5qe6iq2hqu1y1JUL8JsThB7Zs2VX78
BLOCK 644022 : RG9gvc1Cb9eKshPSknw9442tkBnCQZCYR6
BLOCK 644075 : R9ZM79mj69bZpAYGb3uady75MF4a1z59QL
BLOCK 644276 : RLiYCox2deNztkrb1DEVDNs7id7tickJjc
BLOCK 644276 : RWbt1HuMLYRBiRujEGtxPZWxpRYQiwpHzT
BLOCK 645114 : RMcVsmF2P5LL3hfeFY2dQHEynpPe6pqULc
BLOCK 645182 : RE4fpEQ59b6T4K9GyaNHCupzcxxN1w9BmR
BLOCK 645253 : RVGtPdo6pv8TiZ5w2XUa6CcC88BsaL2asW
BLOCK 645253 : RX2guUuL3VGRpMUHj7gpQdNFwCV3xM3W23
BLOCK 645253 : RVNKizJMZApEFeB9qQxtD9tjCTSvf513Gx
BLOCK 645253 : RP4BjMMreURTSsYCLHKaG6kYdAyqn3RFDp
BLOCK 645800 : REUxFz8BkBqGX848pU21Z7YCgQWMf5F5YB
BLOCK 645961 : RMjGzLBdSbHyvxGhQR4tVRrVGGdtp1H9pH
BLOCK 647297 : RMT42yGQXaWFtPDMZzh8WmubEQgTaJ14by
BLOCK 647297 : RXaquK6WF6ymAaJhUgN3zuzdrwTFELgPNb
BLOCK 647733 : R9Q6GezDYoeT2gp6MDBpKGCiT5VPLnMxUW
BLOCK 647733 : REJBRBWV6FTgaArDChhPXMzhZWoB3zkXTz
BLOCK 648215 : RYL9T39UeNeagrffTDY3Lv16CRt991ZLT7
BLOCK 648329 : RQskzURdztc8mgmgyg1Cuz3ZQEisa9jxfX
BLOCK 648381 : RPL4hGR2zjcmkiWDqqnjMzgxfgYcbJ8CCK

